"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","branch_number","CBB_3mon","DM_gravity","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","shoot_weight_plot","root_weight_plot","frogskin1_5","vigor1_5","lodging1_3","root_number_commercial","root_weight_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","mites_3mon","mites_7mon","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2021,"202157DVGXE_polo","202157DVGXE_polo",4,4,"2021-August-09","2022-September-01","Polonuevo. Atlantico, Colombia","Caiseli,Caiselli,CAISELLI","202157DVGXE_polo_rep2_SMB2446-2_40",2,40,3,8,"check"," (Operator: lizbethpino, Time: )","SMB2446-2_is_Caiseli","check_released",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",0,1,36.5294449527295,290,34.375,6,100,34.375,12.5569967025008,NA,16.5,NA,4,1,30,NA,12,20,1,290,30,6,NA,NA,3,1,2,2,NA,3700,421,3,20,1,2,1,1
2021,"202157DVGXE_polo","202157DVGXE_polo",4,4,"2021-August-09","2022-September-01","Polonuevo. Atlantico, Colombia","Tai8","202157DVGXE_polo_rep2_TAI8_35",2,35,2,6,"check"," (Operator: lizbethpino, Time: )","TAI8_is_TAI","check_released",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",2,1,29.9717391304347,70,44.7916666666667,6,100,44.7916666666667,13.4248414855072,NA,21.5,NA,4,1,40,NA,8,20,3,170,20,6,NA,NA,1,1,2,3,NA,4600,368,0,20,1,2,1,4
2021,"202157DVGXE_polo","202157DVGXE_polo",4,4,"2021-August-09","2022-September-01","Polonuevo. Atlantico, Colombia",NA,"202157DVGXE_polo_rep3_CG1141-1_82",3,82,7,10,"check"," (Operator: lizbethpino, Time: )","CG1141-1_is_Costena","check_released",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",3,1,36.710394136025,120,36.6666666666667,6,100,36.6666666666667,13.4604778498758,NA,17.6,NA,4,1,34,NA,10,20,2,220,30,6,NA,NA,3,1,2,2,NA,4700,539,2,20,1,2,1,1
2021,"202157DVGXE_polo","202157DVGXE_polo",4,4,"2021-August-09","2022-September-01","Polonuevo. Atlantico, Colombia",NA,"202157DVGXE_polo_rep3_CM4919-1_66",3,66,3,11,"check"," (Operator: lizbethpino, Time: )","CM4919-1_is_Veronica","check_released",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",0,1,33.6642857142857,170,22.7083333333333,6,100,22.7083333333333,7.64459821428571,NA,10.9,NA,3,1,17,NA,8,20,3,170,30,6,NA,NA,3,1,3,2,NA,4500,447,2,20,1,2,1,5
2021,"202157DVGXE_polo","202157DVGXE_polo",4,4,"2021-August-09","2022-September-01","Polonuevo. Atlantico, Colombia",NA,"202157DVGXE_polo_rep3_CM9456-12_80",3,80,6,12,"test"," (Operator: lizbethpino, Time: )","CM9456-12","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",0,1,32.5457392848085,230,27.2916666666667,6,100,27.2916666666667,8.88227467981232,NA,13.1,NA,3,1,20,NA,8,20,3,230,30,6,NA,NA,3,1,2,3,NA,4350,407,1,20,1,3,1,1
2021,"202157DVGXE_polo","202157DVGXE_polo",4,4,"2021-August-09","2022-September-01","Polonuevo. Atlantico, Colombia",NA,"202157DVGXE_polo_rep3_CM9912-167_72",3,72,2,9,"test"," (Operator: lizbethpino, Time: )","CM9912-167","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",3,1,33.9557326301307,130,51.25,6,85,51.25,17.402312972942,NA,24.6,NA,4,1,34,NA,12,20,2,250,30,6,NA,NA,2,1,1,3,NA,4850,489,3,17,1,3,1,4
2021,"202157DVGXE_polo","202157DVGXE_polo",4,4,"2021-August-09","2022-September-01","Polonuevo. Atlantico, Colombia",NA,"202157DVGXE_polo_rep3_CM9962-27_62",3,62,4,11,"test"," (Operator: lizbethpino, Time: )","CM9962-27","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",4,1,31.4416797841241,160,32.7083333333333,6,90,32.7083333333333,10.2840494293906,NA,15.7,NA,3,1,25,NA,8,20,4,230,20,6,NA,NA,2,1,2,3,NA,4875,428,0,18,1,2,1,3
2021,"202157DVGXE_polo","202157DVGXE_polo",4,4,"2021-August-09","2022-September-01","Polonuevo. Atlantico, Colombia",NA,"202157DVGXE_polo_rep3_COL2215_75",3,75,5,11,"check"," (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",3,1,36.5346319183235,90,13.5416666666667,6,100,13.5416666666667,4.94739807227297,NA,6.5,NA,3,1,10,NA,8,20,4,170,20,6,NA,NA,3,1,3,2,NA,4200,478,8,20,1,3,1,1
2021,"202157DVGXE_polo","202157DVGXE_polo",4,4,"2021-August-09","2022-September-01","Polonuevo. Atlantico, Colombia",NA,"202157DVGXE_polo_rep3_GM1406-13_71",3,71,2,10,"test"," (Operator: lizbethpino, Time: )","GM1406-13","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",2,1,34.6106341911764,220,31.4583333333333,6,90,31.4583333333333,10.8879286726409,NA,15.1,NA,3,1,18,NA,10,20,3,250,30,6,NA,NA,3,1,2,2,NA,4858,506,1,18,1,2,1,1
2021,"202157DVGXE_polo","202157DVGXE_polo",4,4,"2021-August-09","2022-September-01","Polonuevo. Atlantico, Colombia",NA,"202157DVGXE_polo_rep3_GM273-57_77",3,77,6,9,"test"," (Operator: lizbethpino, Time: )","GM273-57_is_Ropain","check_released",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",5,1,34.0292167334223,70,32.2916666666667,6,100,32.2916666666667,10.9886012368343,NA,15.5,NA,4,1,20,NA,10,20,3,230,30,6,NA,NA,2,1,2,3,NA,5000,506,6,20,1,2,1,1
