"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","branch_number","CBB_3mon","DM_gravity","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","shoot_weight_plot","root_weight_plot","frogskin1_5","vigor1_5","lodging1_3","root_number_commercial","root_weight_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","mites_3mon","mites_7mon","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2021,"202156DVGXE_repe","202156DVGXE_repe",5.2,4,"2021-August-10","2022-August-23","Repelon. Atlantico, Colombia",NA,"202156DVGXE_repe_rep1_CG1141-1_11",1,11,2,4,"check"," (Operator: lizbethpino, Time: )","CG1141-1_is_Costena","check_released",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",0,1,31.81045131,280,25.96153846,6,80,25.9615384615385,8.25848255163462,NA,16.2,NA,4,1,25,NA,10,20,1,280,40,6,NA,NA,1,1,2,3,NA,4625,415,0,16,1,2,1,4
2021,"202156DVGXE_repe","202156DVGXE_repe",5.2,4,"2021-August-10","2022-August-23","Repelon. Atlantico, Colombia",NA,"202156DVGXE_repe_rep1_CM4919-1_1",1,1,1,1,"check"," (Operator: lizbethpino, Time: )","CM4919-1_is_Veronica","check_released",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",0,1,29.74675647,350,54.16666667,6,85,54.1666666666667,16.11282642125,NA,33.8,NA,4,1,44,NA,12,20,2,350,30,6,NA,NA,3,1,1,2,NA,4150,327,0,17,1,2,1,1
2021,"202156DVGXE_repe","202156DVGXE_repe",5.2,4,"2021-August-10","2022-August-23","Repelon. Atlantico, Colombia",NA,"202156DVGXE_repe_rep1_CM9456-12_21",1,21,3,7,"test"," (Operator: lizbethpino, Time: )","CM9456-12","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",0,1,31.2147252,280,31.73076923,6,100,31.7307692307692,9.90467241923077,NA,19.8,NA,3,1,22,NA,10,20,2,280,30,6,NA,NA,3,1,2,2,NA,5000,433,0,20,1,3,4,1
2021,"202156DVGXE_repe","202156DVGXE_repe",5.2,4,"2021-August-10","2022-August-23","Repelon. Atlantico, Colombia",NA,"202156DVGXE_repe_rep1_CM9912-167_22",1,22,4,7,"test"," (Operator: lizbethpino, Time: )","CM9912-167","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",2,1,32.61135505,190,82.69230769,6,60,82.6923076923077,26.9670820605769,NA,51.6,NA,4,2,43,NA,12,20,3,280,40,6,NA,NA,2,1,2,3,NA,4675,439,2,12,2,2,1,1
2021,"202156DVGXE_repe","202156DVGXE_repe",5.2,4,"2021-August-10","2022-August-23","Repelon. Atlantico, Colombia",NA,"202156DVGXE_repe_rep1_CM9962-27_27",1,27,4,2,"test"," (Operator: lizbethpino, Time: )","CM9962-27","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",0,1,26.85074707,320,43.10897436,6,100,43.1089743589744,11.5750816695994,NA,26.9,NA,5,1,26,NA,12,20,2,320,40,6,NA,NA,3,2,2,3,NA,4000,252,0,20,1,2,1,1
2021,"202156DVGXE_repe","202156DVGXE_repe",5.2,4,"2021-August-10","2022-August-23","Repelon. Atlantico, Colombia",NA,"202156DVGXE_repe_rep1_COL2215_4",1,4,1,4,"check"," (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",5,1,30.30479187,120,56.57051282,6,45,56.5705128205128,17.1435761700481,NA,35.3,NA,3,1,42,NA,8,20,3,260,30,6,NA,NA,3,2,1,3,NA,4500,368,1,9,1,2,2,5
2021,"202156DVGXE_repe","202156DVGXE_repe",5.2,4,"2021-August-10","2022-August-23","Repelon. Atlantico, Colombia",NA,"202156DVGXE_repe_rep1_GM1406-13_24",1,24,4,5,"test"," (Operator: lizbethpino, Time: )","GM1406-13","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1,1,31.48070175,310,38.62179487,6,90,38.6217948717949,12.1584120540865,NA,24.1,NA,3,1,27,NA,14,20,2,330,40,6,NA,NA,2,1,2,2,NA,4000,352,0,18,1,2,1,1
2021,"202156DVGXE_repe","202156DVGXE_repe",5.2,4,"2021-August-10","2022-August-23","Repelon. Atlantico, Colombia",NA,"202156DVGXE_repe_rep1_GM273-57_28",1,28,4,1,"test"," (Operator: lizbethpino, Time: )","GM273-57_is_Ropain","check_released",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",3,1,31.81548767,160,29.6474359,6,100,29.6474358974359,9.43247631241987,NA,18.5,NA,5,2,18,NA,12,20,3,310,30,6,NA,NA,1,1,2,3,NA,4100,368,0,20,1,2,1,1
2021,"202156DVGXE_repe","202156DVGXE_repe",5.2,4,"2021-August-10","2022-August-23","Repelon. Atlantico, Colombia",NA,"202156DVGXE_repe_rep1_GM3937-67_18",1,18,3,4,"test"," (Operator: lizbethpino, Time: )","GM3937-67","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",5,1,34.47244561,110,19.39102564,6,85,19.3910256410256,6.68456076732372,NA,12.1,NA,5,2,14,NA,10,20,3,320,40,6,NA,NA,3,1,3,1,NA,4050,419,0,17,1,2,1,1
2021,"202156DVGXE_repe","202156DVGXE_repe",5.2,4,"2021-August-10","2022-August-23","Repelon. Atlantico, Colombia",NA,"202156DVGXE_repe_rep1_GM4034-1_23",1,23,4,6,"test"," (Operator: lizbethpino, Time: )","GM4034-1_is_Reina_wx","check_released",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",7,1,33.01637168,70,37.33974359,6,95,37.3397435897436,12.3282285279487,NA,23.3,NA,4,2,30,NA,12,20,3,260,30,6,NA,NA,2,1,1,3,NA,4500,432,0,19,1,3,2,1
2021,"202156DVGXE_repe","202156DVGXE_repe",5.2,4,"2021-August-10","2022-August-23","Repelon. Atlantico, Colombia",NA,"202156DVGXE_repe_rep1_GM4781-2_20",1,20,3,6,"test"," (Operator: lizbethpino, Time: )","GM4781-2","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",4,1,32.27485394,130,34.93589744,6,80,34.9358974358974,11.2755098700641,NA,21.8,NA,3,2,23,NA,10,20,3,300,40,6,NA,NA,3,2,2,2,NA,4525,417,0,16,1,2,2,1
